Close,predict,diff
148.27049255371094,141.82831,-6.4421844482421875
143.7740020751953,143.22552,-0.5484771728515625
145.86300659179688,143.91832,-1.9446868896484375
146.7899932861328,144.50781,-2.2821807861328125
148.68299865722656,145.0791,-3.6038970947265625
149.24099731445312,145.84438,-3.3966217041015625
149.35150146484375,146.66602,-2.68548583984375
149.24850463867188,147.40532,-1.8431854248046875
146.62600708007812,147.9719,1.34588623046875
146.7480010986328,147.94307,1.195068359375
149.64549255371094,147.6455,-2.0
149.38800048828125,147.70297,-1.685028076171875
149.0760040283203,147.86935,-1.2066497802734375
149.06199645996094,148.01987,-1.0421295166015625
150.70899963378906,148.14096,-2.5680389404296875
149.95249938964844,148.49048,-1.4620208740234375
147.07850646972656,148.77321,1.6947021484375
146.7570037841797,148.53157,1.774566650390625
146.71749877929688,148.02779,1.3102874755859375
142.80599975585938,147.45613,4.6501312255859375
146.11399841308594,146.31404,0.200042724609375
142.45199584960938,145.60406,3.152069091796875
141.6179962158203,144.61797,2.999969482421875
143.77650451660156,143.54027,-0.236236572265625
142.52049255371094,142.92682,0.4063262939453125
143.79649353027344,142.43637,-1.3601226806640625
148.0364990234375,142.3051,-5.7313995361328125
148.7205047607422,143.04642,-5.6740875244140625
148.1060028076172,144.21579,-3.8902130126953125
148.6750030517578,145.33871,-3.3362884521484375
146.70449829101562,146.37086,-0.3336334228515625
144.9705047607422,146.8819,1.9113922119140625
147.36849975585938,146.7843,-0.584197998046875
144.8385009765625,146.76877,1.930267333984375
142.80299377441406,146.36827,3.565277099609375
142.40150451660156,145.521,3.1194915771484375
144.2205047607422,144.51492,0.2944183349609375
146.94900512695312,143.86151,-3.087493896484375
147.1425018310547,143.90437,-3.238128662109375
148.06399536132812,144.31743,-3.7465667724609375
146.447998046875,145.0126,-1.435394287109375
146.50450134277344,145.49165,-1.012847900390625
146.00250244140625,145.8127,-0.1898040771484375
144.67950439453125,145.92245,1.242950439453125
145.07449340820312,145.69849,0.623992919921875
144.41650390625,145.4042,0.987701416015625
137.65350341796875,145.00697,7.3534698486328125
137.55099487304688,143.55173,6.000732421875
137.00450134277344,141.79997,4.79547119140625
138.57400512695312,140.06317,1.489166259765625
140.0175018310547,138.84442,-1.1730804443359375
141.6479949951172,138.29453,-3.3534698486328125
139.13099670410156,138.43347,-0.6975250244140625
139.7864990234375,138.516,-1.2704925537109375
136.29049682617188,138.68925,2.3987579345703125
135.65199279785156,138.33658,2.6845855712890625
133.50650024414062,137.69095,4.1844482421875
130.0919952392578,136.65439,6.5623931884765625
130.3719940185547,135.04913,4.6771392822265625
126.7354965209961,133.45122,6.715721130371094
129.24000549316406,131.52269,2.282684326171875
129.12100219726562,130.12263,1.0016326904296875
133.2895050048828,129.17264,-4.1168670654296875
135.69850158691406,129.25436,-6.4441375732421875
137.8784942626953,130.22552,-7.6529693603515625
148.0364990234375,131.85884,-16.177658081054688
142.65049743652344,135.18646,-7.4640350341796875
143.01600646972656,137.99962,-5.016387939453125
138.93800354003906,140.22615,1.28814697265625
139.21299743652344,141.15652,1.9435272216796875
141.4530029296875,141.32898,-0.1240234375
138.6024932861328,141.40904,2.806549072265625
134.1300048828125,140.9425,6.8125
135.3000030517578,139.56583,4.2658233642578125
136.42550659179688,138.12422,1.6987152099609375
137.4875030517578,137.01758,-0.4699249267578125
132.30850219726562,136.4057,4.097198486328125
130.46749877929688,135.33076,4.8632659912109375
129.40249633789062,133.92885,4.5263519287109375
127.58499908447266,132.41371,4.828712463378906
132.67349243164062,130.7919,-1.881591796875
134.51950073242188,130.16312,-4.35638427734375
134.89100646972656,130.40996,-4.481048583984375
134.16799926757812,131.1435,-3.024505615234375
134.75149536132812,131.92285,-2.828643798828125
134.30799865722656,132.71838,-1.5896148681640625
132.1219940185547,133.335,1.2130126953125
126.4645004272461,133.42966,6.965156555175781
127.27850341796875,132.36763,5.0891265869140625
133.86599731445312,131.01549,-2.8505096435546875
132.6820068359375,130.7196,-1.96240234375
130.47549438476562,130.7878,0.3123016357421875
126.74099731445312,130.70804,3.967041015625
129.66050720214844,129.99767,0.337158203125
133.6905059814453,129.53943,-4.1510772705078125
134.60049438476562,129.88474,-4.71575927734375
136.80149841308594,130.71635,-6.08514404296875
136.47850036621094,132.02893,-4.4495697021484375
140.27749633789062,133.33702,-6.9404754638671875
138.5034942626953,135.04977,-3.4537200927734375
141.31199645996094,136.41185,-4.900146484375
141.52149963378906,137.8382,-3.6833038330078125
141.9499969482422,139.09122,-2.8587799072265625
143.25,140.12569,-3.1243133544921875
142.64450073242188,141.0818,-1.5626983642578125
139.64950561523438,141.7382,2.0886993408203125
140.6999969482422,141.66281,0.9628143310546875
143.6425018310547,141.39798,-2.2445220947265625
141.06300354003906,141.51773,0.4547271728515625
137.17599487304688,141.38506,4.2090606689453125
136.46499633789062,140.54865,4.083648681640625
134.010498046875,139.38385,5.37335205078125
129.79649353027344,137.83849,8.0419921875
128.37449645996094,135.68405,7.3095550537109375
130.28599548339844,133.34274,3.0567474365234375
127.25299835205078,131.55942,4.306419372558594
127.96099853515625,129.85509,1.8940887451171875
130.531005859375,128.58879,-1.9422149658203125
128.24549865722656,128.14693,-0.09857177734375
124.9375,127.84625,2.90875244140625
119.61399841308594,127.18119,7.567192077636719
123.25,125.634186,2.384185791015625
119.50599670410156,124.4508,4.944801330566406
115.02050018310547,123.03406,8.013557434082031
119.4114990234375,121.04087,1.6293716430664062
114.96649932861328,119.736145,4.769645690917969
117.15699768066406,118.28094,1.1239395141601562
118.12950134277344,117.32546,-0.8040390014648438
